Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 Unique Intensity	A_2 Unique Intensity	A_3 Unique Intensity	B_1 Unique Intensity	B_2 Unique Intensity	B_3 Unique Intensity	C_1 Unique Intensity	C_2 Unique Intensity	C_3 Unique Intensity	D_1 Unique Intensity	D_2 Unique Intensity	D_3 Unique Intensity	E_1 Unique Intensity	E_2 Unique Intensity	E_3 Unique Intensity	A_1 Total Intensity	A_2 Total Intensity	A_3 Total Intensity	B_1 Total Intensity	B_2 Total Intensity	B_3 Total Intensity	C_1 Total Intensity	C_2 Total Intensity	C_3 Total Intensity	D_1 Total Intensity	D_2 Total Intensity	D_3 Total Intensity	E_1 Total Intensity	E_2 Total Intensity	E_3 Total Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	A_1 MaxLFQ Unique Intensity	A_2 MaxLFQ Unique Intensity	A_3 MaxLFQ Unique Intensity	B_1 MaxLFQ Unique Intensity	B_2 MaxLFQ Unique Intensity	B_3 MaxLFQ Unique Intensity	C_1 MaxLFQ Unique Intensity	C_2 MaxLFQ Unique Intensity	C_3 MaxLFQ Unique Intensity	D_1 MaxLFQ Unique Intensity	D_2 MaxLFQ Unique Intensity	D_3 MaxLFQ Unique Intensity	E_1 MaxLFQ Unique Intensity	E_2 MaxLFQ Unique Intensity	E_3 MaxLFQ Unique Intensity	A_1 MaxLFQ Total Intensity	A_2 MaxLFQ Total Intensity	A_3 MaxLFQ Total Intensity	B_1 MaxLFQ Total Intensity	B_2 MaxLFQ Total Intensity	B_3 MaxLFQ Total Intensity	C_1 MaxLFQ Total Intensity	C_2 MaxLFQ Total Intensity	C_3 MaxLFQ Total Intensity	D_1 MaxLFQ Total Intensity	D_2 MaxLFQ Total Intensity	D_3 MaxLFQ Total Intensity	E_1 MaxLFQ Total Intensity	E_2 MaxLFQ Total Intensity	E_3 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|P01127|PDGFB_HUMAN	P01127	PDGFB_HUMAN	PDGFB	241	38.60	Homo sapiens	1:Experimental evidence at protein level	Platelet-derived growth factor subunit B	1.0000	0.9990	11	92	92	92	0	0	0	0	2	3	6	6	2	6	6	6	20	18	17	0	0	0	0	2	3	6	6	2	6	6	6	20	18	17	0	0	0	0	2	3	6	6	2	6	6	6	20	18	17	2291352.0	2512341.2	1340315.8	1.0024212E7	9657815.0	7133480.5	3.1997678E7	2.9979066E7	3.4162904E7	1.46123616E8	1.34724848E8	1.394576E8	4.82332096E8	4.63674432E8	5.05993792E8	2291352.0	2512341.2	1340315.8	1.0024212E7	9657815.0	7133480.5	3.1997678E7	2.9979066E7	3.4162904E7	1.46123616E8	1.34724848E8	1.394576E8	4.82332096E8	4.63674432E8	5.05993792E8	2291352.0	2512341.2	1340315.8	1.0024212E7	9657815.0	7133480.5	3.1997678E7	2.9979066E7	3.4162904E7	1.46123616E8	1.34724848E8	1.394576E8	4.82332096E8	4.63674432E8	5.05993792E8	1265681.4	1356067.5	1457816.8	4434246.0	4255613.0	3716451.2	1.3529576E7	1.260755E7	1.3944248E7	6.0734572E7	5.5864916E7	5.8917784E7	2.14929232E8	2.0621968E8	2.2237568E8	1265681.4	1356067.5	1457816.8	4434246.0	4255613.0	3716451.2	1.3529576E7	1.260755E7	1.3944248E7	6.0734572E7	5.5864916E7	5.8917784E7	2.14929232E8	2.0621968E8	2.2237568E8	1265681.4	1356067.5	1457816.8	4434246.0	4255613.0	3716451.2	1.3529576E7	1.260755E7	1.3944248E7	6.0734572E7	5.5864916E7	5.8917784E7	2.14929232E8	2.0621968E8	2.2237568E8	
sp|P01344|IGF2_HUMAN	P01344	IGF2_HUMAN	IGF2	180	26.70	Homo sapiens	1:Experimental evidence at protein level	Insulin-like growth factor II	1.0000	0.9990	3	24	24	24	0	0	0	0	0	1	2	1	1	3	4	3	3	3	3	0	0	0	0	0	1	2	1	1	3	4	3	3	3	3	0	0	0	0	0	1	2	1	1	3	4	3	3	3	3	1713660.6	2830584.0	3610974.0	1.0712027E7	1.1276512E7	4515599.0	4.1234112E7	3.9733784E7	2.2391974E7	1.5981048E8	1.49498464E8	9.1396784E7	4.8484272E8	4.91277856E8	4.33752704E8	1713660.6	2830584.0	3610974.0	1.0712027E7	1.1276512E7	4515599.0	4.1234112E7	3.9733784E7	2.2391974E7	1.5981048E8	1.49498464E8	9.1396784E7	4.8484272E8	4.91277856E8	4.33752704E8	1713660.6	2830584.0	3610974.0	1.0712027E7	1.1276512E7	4515599.0	4.1234112E7	3.9733784E7	2.2391974E7	1.5981048E8	1.49498464E8	9.1396784E7	4.8484272E8	4.91277856E8	4.33752704E8	1843187.6	1572864.9	1987277.9	5552069.5	5661696.5	5198887.0	1.8719048E7	1.9293242E7	1.9691008E7	7.9000232E7	7.3841536E7	4.0657568E7	2.5235928E8	2.54058128E8	2.2585008E8	1843187.6	1572864.9	1987277.9	5552069.5	5661696.5	5198887.0	1.8719048E7	1.9293242E7	1.9691008E7	7.9000232E7	7.3841536E7	4.0657568E7	2.5235928E8	2.54058128E8	2.2585008E8	1843187.6	1572864.9	1987277.9	5552069.5	5661696.5	5198887.0	1.8719048E7	1.9293242E7	1.9691008E7	7.9000232E7	7.3841536E7	4.0657568E7	2.5235928E8	2.54058128E8	2.2585008E8	
sp|P01375|TNFA_HUMAN	P01375	TNFA_HUMAN	TNF	233	39.10	Homo sapiens	1:Experimental evidence at protein level	Tumor necrosis factor	1.0000	0.9989	5	19	19	19	0	0	0	0	0	0	1	1	0	2	2	2	3	2	6	0	0	0	0	0	0	1	1	0	2	2	2	3	2	6	0	0	0	0	0	0	1	1	0	2	2	2	3	2	6	0.0	0.0	0.0	2704511.0	2982268.0	3174051.0	1.1606412E7	8910664.0	1122745.1	3.2952004E7	2.9216772E7	2.3048242E7	1.03442608E8	1.05364736E8	8.9820552E7	0.0	0.0	0.0	2704511.0	2982268.0	3174051.0	1.1606412E7	8910664.0	1122745.1	3.2952004E7	2.9216772E7	2.3048242E7	1.03442608E8	1.05364736E8	8.9820552E7	0.0	0.0	0.0	2704511.0	2982268.0	3174051.0	1.1606412E7	8910664.0	1122745.1	3.2952004E7	2.9216772E7	2.3048242E7	1.03442608E8	1.05364736E8	8.9820552E7	0.0	0.0	0.0	1594798.5	1738968.5	1838376.6	5489104.5	5256736.0	4596873.5	1.5530523E7	1.3399017E7	1.1546468E7	5.2380856E7	5.3529564E7	4.507346E7	0.0	0.0	0.0	1594798.5	1738968.5	1838376.6	5489104.5	5256736.0	4596873.5	1.5530523E7	1.3399017E7	1.1546468E7	5.2380856E7	5.3529564E7	4.507346E7	0.0	0.0	0.0	1594798.5	1738968.5	1838376.6	5489104.5	5256736.0	4596873.5	1.5530523E7	1.3399017E7	1.1546468E7	5.2380856E7	5.3529564E7	4.507346E7	
sp|P02144|MYG_HUMAN	P02144	MYG_HUMAN	MB	154	61.00	Homo sapiens	1:Experimental evidence at protein level	Myoglobin	1.0000	0.9990	13	86	85	86	0	0	0	3	3	3	5	5	5	9	10	7	12	12	12	0	0	0	3	3	3	5	5	5	9	10	7	11	12	12	0	0	0	3	3	3	5	5	5	9	10	7	12	12	12	2047333.8	1571811.5	1105088.9	7649639.5	7515421.5	8695949.0	2.2132268E7	2.3808768E7	1.3535443E7	1.30899344E8	1.27365056E8	8.1572656E7	4.59525248E8	4.81823008E8	4.75653472E8	2047333.8	1571811.5	1105088.9	7649639.5	7515421.5	8695949.0	2.2132268E7	2.3808768E7	1.3535443E7	1.30899344E8	1.27365056E8	8.1572656E7	4.59525248E8	4.81823008E8	4.75653472E8	2047333.8	1571811.5	1105088.9	7649639.5	7515421.5	8695949.0	2.2132268E7	2.3808768E7	1.3535443E7	1.30899344E8	1.27365056E8	8.1572656E7	4.59525248E8	4.81823008E8	4.75653472E8	1225264.4	1622906.9	1141012.4	4275237.0	3394924.8	4182117.5	1.2440477E7	1.3298518E7	1.3480104E7	6.4760008E7	6.3476E7	5.4145648E7	2.21705296E8	2.0784216E8	1.95827712E8	1225264.4	1622906.9	1141012.4	4275237.0	3394924.8	4182117.5	1.2440477E7	1.3298518E7	1.3480104E7	6.4760008E7	6.3476E7	5.4145648E7	2.21705296E8	2.0784216E8	1.95827712E8	1225264.4	1622906.9	1141012.4	4275237.0	3394924.8	4182117.5	1.2440477E7	1.3298518E7	1.3480104E7	6.4760008E7	6.3476E7	5.4145648E7	2.21705296E8	2.0784216E8	1.95827712E8	
sp|P02293|H2B1_YEAST	P02293	H2B1_YEAST	HTB1	131	39.70	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone H2B.1 -	1.0000	0.9990	7	74	0	74	6	5	7	5	5	4	4	7	5	4	4	6	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	7	5	5	4	4	7	5	4	4	6	4	5	3	1.97384496E8	1.94313616E8	1.95158416E8	1.95557696E8	1.9940704E8	2.18809568E8	1.85656448E8	1.77005744E8	1.03034584E8	2.15311216E8	1.94383584E8	1.08074768E8	1.98768672E8	7.413948E7	1.66515312E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97384496E8	1.94313616E8	1.95158416E8	1.95557696E8	1.9940704E8	2.18809568E8	1.85656448E8	1.77005744E8	1.03034584E8	2.15311216E8	1.94383584E8	1.08074768E8	1.98768672E8	7.413948E7	1.66515312E8	9.3992112E7	1.05799232E8	1.06063952E8	1.0000704E8	9.8057384E7	9.701344E7	1.08154968E8	1.09442568E8	1.05826648E8	9.9960096E7	1.04212512E8	9.6536272E7	8.9185264E7	9.0224864E7	7.7902552E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.3992112E7	1.05799232E8	1.06063952E8	1.0000704E8	9.8057384E7	9.701344E7	1.08154968E8	1.09442568E8	1.05826648E8	9.9960096E7	1.04212512E8	9.6536272E7	8.9185264E7	9.0224864E7	7.7902552E7	sp|P02294|H2B2_YEAST
sp|P02309|H4_YEAST	P02309	H4_YEAST	HHF1	103	43.70	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone H4 -	1.0000	0.9990	4	54	54	54	4	2	4	3	4	4	4	4	3	4	2	4	4	4	4	4	2	4	3	4	4	4	4	3	4	2	4	4	4	4	4	2	4	3	4	4	4	4	3	4	2	4	4	4	4	9.9578144E7	1.05466352E8	9.5131648E7	9.2365368E7	9.8118544E7	4.2323052E7	8.9286496E7	8.7622672E7	9.24048E7	1.00823496E8	9.865964E7	9.6623632E7	9.1628784E7	9.4081352E7	7.9265008E7	9.9578144E7	1.05466352E8	9.5131648E7	9.2365368E7	9.8118544E7	4.2323052E7	8.9286496E7	8.7622672E7	9.24048E7	1.00823496E8	9.865964E7	9.6623632E7	9.1628784E7	9.4081352E7	7.9265008E7	9.9578144E7	1.05466352E8	9.5131648E7	9.2365368E7	9.8118544E7	4.2323052E7	8.9286496E7	8.7622672E7	9.24048E7	1.00823496E8	9.865964E7	9.6623632E7	9.1628784E7	9.4081352E7	7.9265008E7	7.8599024E7	8.6998808E7	7.4661144E7	7.5968112E7	7.693308E7	5.3979568E7	7.226748E7	6.5160896E7	7.4172376E7	8.0952648E7	7.6349584E7	8.0979144E7	7.9620272E7	7.9489528E7	6.7049596E7	7.8599024E7	8.6998808E7	7.4661144E7	7.5968112E7	7.693308E7	5.3979568E7	7.226748E7	6.5160896E7	7.4172376E7	8.0952648E7	7.6349584E7	8.0979144E7	7.9620272E7	7.9489528E7	6.7049596E7	7.8599024E7	8.6998808E7	7.4661144E7	7.5968112E7	7.693308E7	5.3979568E7	7.226748E7	6.5160896E7	7.4172376E7	8.0952648E7	7.6349584E7	8.0979144E7	7.9620272E7	7.9489528E7	6.7049596E7	
sp|P02400|RLA4_YEAST	P02400	RLA4_YEAST	RPP2B	110	34.50	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S acidic ribosomal protein P2-beta -	1.0000	0.9990	4	77	77	77	5	4	6	6	5	5	6	6	4	5	6	6	5	3	5	5	4	6	6	5	5	6	6	4	5	6	6	5	3	5	5	4	6	6	5	5	6	6	4	5	6	6	5	3	5	2.13031808E8	1.75430272E8	2.17268784E8	2.266452E8	2.30781088E8	2.15724352E8	1.64744896E8	1.56152928E8	1.79818256E8	2.4417088E8	2.44476176E8	1.9174792E8	2.79003264E8	2.21626592E8	2.89683488E8	2.13031808E8	1.75430272E8	2.17268784E8	2.266452E8	2.30781088E8	2.15724352E8	1.64744896E8	1.56152928E8	1.79818256E8	2.4417088E8	2.44476176E8	1.9174792E8	2.79003264E8	2.21626592E8	2.89683488E8	2.13031808E8	1.75430272E8	2.17268784E8	2.266452E8	2.30781088E8	2.15724352E8	1.64744896E8	1.56152928E8	1.79818256E8	2.4417088E8	2.44476176E8	1.9174792E8	2.79003264E8	2.21626592E8	2.89683488E8	9.6599928E7	6.4970104E7	9.4914992E7	1.02060936E8	1.02542304E8	9.3218064E7	7.2709488E7	7.3540984E7	7.503084E7	1.12120456E8	1.10754616E8	1.06521816E8	1.227346E8	1.35694032E8	1.29363872E8	9.6599928E7	6.4970104E7	9.4914992E7	1.02060936E8	1.02542304E8	9.3218064E7	7.2709488E7	7.3540984E7	7.503084E7	1.12120456E8	1.10754616E8	1.06521816E8	1.227346E8	1.35694032E8	1.29363872E8	9.6599928E7	6.4970104E7	9.4914992E7	1.02060936E8	1.02542304E8	9.3218064E7	7.2709488E7	7.3540984E7	7.503084E7	1.12120456E8	1.10754616E8	1.06521816E8	1.227346E8	1.35694032E8	1.29363872E8	
sp|P02406|RL28_YEAST	P02406	RL28_YEAST	RPL28	149	36.90	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L28 -	1.0000	0.9990	6	76	76	76	4	5	5	6	7	5	3	6	4	7	6	5	4	5	4	4	5	5	6	7	5	3	6	4	7	6	5	4	5	4	4	5	5	6	7	5	3	6	4	7	6	5	4	5	4	2.8033088E8	1.62540032E8	2.73281536E8	2.84885952E8	3.01590688E8	1.25421272E8	2.32261504E8	2.18253312E8	2.38819152E8	3.1228272E8	2.82288512E8	1.5191856E8	3.06133216E8	1.98739424E8	2.74948288E8	2.8033088E8	1.62540032E8	2.73281536E8	2.84885952E8	3.01590688E8	1.25421272E8	2.32261504E8	2.18253312E8	2.38819152E8	3.1228272E8	2.82288512E8	1.5191856E8	3.06133216E8	1.98739424E8	2.74948288E8	2.8033088E8	1.62540032E8	2.73281536E8	2.84885952E8	3.01590688E8	1.25421272E8	2.32261504E8	2.18253312E8	2.38819152E8	3.1228272E8	2.82288512E8	1.5191856E8	3.06133216E8	1.98739424E8	2.74948288E8	1.12539304E8	8.8234928E7	1.07627024E8	1.14392416E8	1.19695776E8	8.5719496E7	9.2173208E7	9.2017032E7	9.8563104E7	1.25090704E8	1.0917212E8	1.05597432E8	1.2007204E8	1.04935672E8	9.5238184E7	1.12539304E8	8.8234928E7	1.07627024E8	1.14392416E8	1.19695776E8	8.5719496E7	9.2173208E7	9.2017032E7	9.8563104E7	1.25090704E8	1.0917212E8	1.05597432E8	1.2007204E8	1.04935672E8	9.5238184E7	1.12539304E8	8.8234928E7	1.07627024E8	1.14392416E8	1.19695776E8	8.5719496E7	9.2173208E7	9.2017032E7	9.8563104E7	1.25090704E8	1.0917212E8	1.05597432E8	1.2007204E8	1.04935672E8	9.5238184E7	
sp|P02407|RS17A_YEAST	P02407	RS17A_YEAST	RPS17A	136	68.40	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S17-A -	1.0000	0.9990	11	199	0	199	14	16	14	11	14	12	12	12	10	12	16	15	13	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	14	11	14	12	12	12	10	12	16	15	13	14	14	3.22563936E8	3.1834368E8	3.25734784E8	3.22320896E8	3.347344E8	2.4217016E8	2.72080192E8	2.67452896E8	2.1829752E8	3.1751136E8	3.1220176E8	2.6223904E8	3.21414976E8	3.42048736E8	2.90135616E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22563936E8	3.1834368E8	3.25734784E8	3.22320896E8	3.347344E8	2.4217016E8	2.72080192E8	2.67452896E8	2.1829752E8	3.1751136E8	3.1220176E8	2.6223904E8	3.21414976E8	3.42048736E8	2.90135616E8	1.26501336E8	1.3419208E8	1.23792872E8	1.31189544E8	1.45468592E8	1.45321328E8	9.8312872E7	9.6067776E7	9.0747256E7	1.36930992E8	1.313364E8	1.21073264E8	1.46323344E8	1.50375168E8	1.41923184E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26501336E8	1.3419208E8	1.23792872E8	1.31189544E8	1.45468592E8	1.45321328E8	9.8312872E7	9.6067776E7	9.0747256E7	1.36930992E8	1.313364E8	1.21073264E8	1.46323344E8	1.50375168E8	1.41923184E8	sp|P14127|RS17B_YEAST
sp|P02557|TBB_YEAST	P02557	TBB_YEAST	TUB2	457	16.40	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Tubulin beta chain -	1.0000	0.9990	6	69	69	69	5	5	6	5	5	6	4	5	4	4	5	5	4	3	3	5	5	6	5	5	6	4	5	4	4	5	5	4	3	3	5	5	6	5	5	6	4	5	4	4	5	5	4	3	3	1.0033056E7	8661840.0	1.0340831E7	1.1111769E7	1.143086E7	1.2557408E7	6942892.5	7776437.0	5358062.5	1.0793032E7	9948107.0	1.1634478E7	1.286178E7	1.0902579E7	1.2170702E7	1.0033056E7	8661840.0	1.0340831E7	1.1111769E7	1.143086E7	1.2557408E7	6942892.5	7776437.0	5358062.5	1.0793032E7	9948107.0	1.1634478E7	1.286178E7	1.0902579E7	1.2170702E7	1.0033056E7	8661840.0	1.0340831E7	1.1111769E7	1.143086E7	1.2557408E7	6942892.5	7776437.0	5358062.5	1.0793032E7	9948107.0	1.1634478E7	1.286178E7	1.0902579E7	1.2170702E7	3834636.0	4295664.5	4167975.8	4557431.0	5102557.0	5458439.0	2201870.2	2784523.0	2180922.5	4921484.5	4494201.5	5316706.0	6385126.5	5720225.0	6496232.5	3834636.0	4295664.5	4167975.8	4557431.0	5102557.0	5458439.0	2201870.2	2784523.0	2180922.5	4921484.5	4494201.5	5316706.0	6385126.5	5720225.0	6496232.5	3834636.0	4295664.5	4167975.8	4557431.0	5102557.0	5458439.0	2201870.2	2784523.0	2180922.5	4921484.5	4494201.5	5316706.0	6385126.5	5720225.0	6496232.5	
sp|P02741|CRP_HUMAN	P02741	CRP_HUMAN	CRP	224	15.60	Homo sapiens	1:Experimental evidence at protein level	C-reactive protein	1.0000	0.9980	5	11	11	11	0	0	0	0	0	0	0	0	0	0	2	1	3	2	3	0	0	0	0	0	0	0	0	0	0	2	1	3	2	3	0	0	0	0	0	0	0	0	0	0	2	1	3	2	3	0.0	0.0	0.0	0.0	0.0	0.0	1297968.2	6103885.0	2700064.5	2.1541546E7	1.2595026E7	1.8369316E7	7.4692896E7	7.1306192E7	7.6757504E7	0.0	0.0	0.0	0.0	0.0	0.0	1297968.2	6103885.0	2700064.5	2.1541546E7	1.2595026E7	1.8369316E7	7.4692896E7	7.1306192E7	7.6757504E7	0.0	0.0	0.0	0.0	0.0	0.0	1297968.2	6103885.0	2700064.5	2.1541546E7	1.2595026E7	1.8369316E7	7.4692896E7	7.1306192E7	7.6757504E7	0.0	0.0	0.0	0.0	0.0	0.0	3470635.5	3202471.8	2115454.0	8992842.0	9840504.0	8813490.0	3.4416592E7	2.7512012E7	2.5162134E7	0.0	0.0	0.0	0.0	0.0	0.0	3470635.5	3202471.8	2115454.0	8992842.0	9840504.0	8813490.0	3.4416592E7	2.7512012E7	2.5162134E7	0.0	0.0	0.0	0.0	0.0	0.0	3470635.5	3202471.8	2115454.0	8992842.0	9840504.0	8813490.0	3.4416592E7	2.7512012E7	2.5162134E7	
sp|P02753|RET4_HUMAN	P02753	RET4_HUMAN	RBP4	201	52.70	Homo sapiens	1:Experimental evidence at protein level	Retinol-binding protein 4	1.0000	0.9990	10	82	82	82	1	1	1	2	1	1	7	4	1	5	7	7	16	13	15	1	1	1	2	1	1	7	4	1	5	7	7	16	13	15	1	1	1	2	1	1	7	4	1	5	7	7	16	13	15	2104222.2	2219487.8	2665742.8	8090567.0	7282338.0	6852118.5	3.0870596E7	3.1404232E7	8921811.0	1.10769544E8	1.10138336E8	9.9933E7	3.57055104E8	3.85372128E8	3.22908032E8	2104222.2	2219487.8	2665742.8	8090567.0	7282338.0	6852118.5	3.0870596E7	3.1404232E7	8921811.0	1.10769544E8	1.10138336E8	9.9933E7	3.57055104E8	3.85372128E8	3.22908032E8	2104222.2	2219487.8	2665742.8	8090567.0	7282338.0	6852118.5	3.0870596E7	3.1404232E7	8921811.0	1.10769544E8	1.10138336E8	9.9933E7	3.57055104E8	3.85372128E8	3.22908032E8	1280489.5	1446906.6	1617970.4	4629168.0	4591834.0	4010779.8	1.7636052E7	1.9249004E7	2.1015586E7	6.0209376E7	6.0192712E7	5.4702876E7	1.99301616E8	2.13931968E8	1.68549344E8	1280489.5	1446906.6	1617970.4	4629168.0	4591834.0	4010779.8	1.7636052E7	1.9249004E7	2.1015586E7	6.0209376E7	6.0192712E7	5.4702876E7	1.99301616E8	2.13931968E8	1.68549344E8	1280489.5	1446906.6	1617970.4	4629168.0	4591834.0	4010779.8	1.7636052E7	1.9249004E7	2.1015586E7	6.0209376E7	6.0192712E7	5.4702876E7	1.99301616E8	2.13931968E8	1.68549344E8	
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	36.30	Homo sapiens	1:Experimental evidence at protein level	Serum albumin	1.0000	0.9990	15	45	42	45	0	0	0	0	0	0	1	1	0	4	3	4	14	6	12	0	0	0	0	0	0	0	1	0	3	3	4	14	6	11	0	0	0	0	0	0	1	1	0	4	3	4	14	6	12	0.0	0.0	725144.44	974854.1	804082.0	454763.78	4361048.0	3169802.5	6045752.0	1.4871411E7	1.5194175E7	9789737.0	5.3969116E7	2.629955E7	4.2221208E7	0.0	0.0	0.0	0.0	0.0	454763.78	2747402.5	1564658.8	4063332.8	8910409.0	9047401.0	1.049953E7	4.7435096E7	4.3354228E7	4.1158252E7	0.0	0.0	725144.44	974854.1	804082.0	454763.78	4361048.0	3169802.5	6045752.0	1.4871411E7	1.5194175E7	9789737.0	5.3969116E7	2.629955E7	4.2221208E7	0.0	0.0	716051.8	962630.4	793999.56	672555.44	1826273.4	2025614.2	2477719.2	5663712.5	5465165.5	5619049.0	1.8321014E7	1.5295701E7	1.5601922E7	0.0	0.0	0.0	0.0	0.0	610751.4	1906058.0	2051425.5	2685002.2	4968282.0	4491879.5	5158643.0	1.5576869E7	1.4042421E7	1.2347156E7	0.0	0.0	716051.8	962630.4	793999.56	672555.44	1826273.4	2025614.2	2477719.2	5663712.5	5465165.5	5619049.0	1.8321014E7	1.5295701E7	1.5601922E7	
sp|P02787|TRFE_HUMAN	P02787	TRFE_HUMAN	TF	698	64.80	Homo sapiens	1:Experimental evidence at protein level	Serotransferrin	1.0000	0.9990	54	335	335	335	0	0	0	5	4	5	14	13	10	36	32	30	63	62	61	0	0	0	5	4	5	14	13	10	36	32	30	63	62	61	0	0	0	5	4	5	14	13	10	36	32	30	63	62	61	387040.9	1665169.6	1542136.2	7623968.0	1.0122834E7	1.0491686E7	3.050975E7	3.0098784E7	9689846.0	1.38652624E8	1.46503632E8	9.6417968E7	4.81203648E8	5.13522464E8	4.7433504E8	387040.9	1665169.6	1542136.2	7623968.0	1.0122834E7	1.0491686E7	3.050975E7	3.0098784E7	9689846.0	1.38652624E8	1.46503632E8	9.6417968E7	4.81203648E8	5.13522464E8	4.7433504E8	387040.9	1665169.6	1542136.2	7623968.0	1.0122834E7	1.0491686E7	3.050975E7	3.0098784E7	9689846.0	1.38652624E8	1.46503632E8	9.6417968E7	4.81203648E8	5.13522464E8	4.7433504E8	1245463.2	1980128.0	1302173.4	4748493.0	4423687.0	4686986.0	1.5031734E7	1.4696386E7	1.4520419E7	5.9005656E7	5.7981216E7	5.667542E7	1.9781256E8	1.99773648E8	1.87090896E8	1245463.2	1980128.0	1302173.4	4748493.0	4423687.0	4686986.0	1.5031734E7	1.4696386E7	1.4520419E7	5.9005656E7	5.7981216E7	5.667542E7	1.9781256E8	1.99773648E8	1.87090896E8	1245463.2	1980128.0	1302173.4	4748493.0	4423687.0	4686986.0	1.5031734E7	1.4696386E7	1.4520419E7	5.9005656E7	5.7981216E7	5.667542E7	1.9781256E8	1.99773648E8	1.87090896E8	
